Name,Clade
MED4,HLI
MIT9515,HLI
AS9601,HLII
MIT9202,HLII
MIT9215,HLII
MIT9301,HLII
MIT9312,HLII
UH18301,HLII
W6,HLII
HNLC2,HLIII
W3,HLIII
W5,HLIII
W7,HLIII
W8,HLIII
W9,HLIII
HNLC1,HLIV
W10,HLIV
W11,HLIV
W12,HLIV
W2,HLIV
W4,HLIV
NATL1A,LLI
NATL2A,LLI
MIT9211,"LLII,III"
SS120,"LLII,III"
MIT9303,LLIV
MIT9313,LLIV
EQPAC1,HLI
GP2,HLII
MIT0604,HLII
MIT9107,HLII
MIT9116,HLII
MIT9123,HLII
MIT9201,HLII
MIT9302,HLII
MIT9311,HLII
MIT9314,HLII
MIT9321,HLII
MIT9322,HLII
MIT9401,HLII
SB,HLII
MIT0801,LLI
PAC1,LLI
LG,"LLII,III"
MIT0601,"LLII,III"
MIT0602,"LLII,III"
MIT0603,"LLII,III"
SS2,"LLII,III"
SS35,"LLII,III"
SS51,"LLII,III"
SS52,"LLII,III"
MIT0701,LLIV
MIT0702,LLIV
MIT0703,LLIV
